********************************************************************************
*      Signed document issued by Sphere Online Judge  (http://www.spoj.com)      
********************************************************************************

----- BEGIN OF DATA -----
Submissions by [akhiluanandh] in contest [SPOJ].  DoI: 2015-05-30 15:17:24.
/------------------------------------------------------------------------------\
|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 12759163 | 2014-10-29 10:56:21 |    NUMTSN |        WA |  1.52 |   7840 | C++ |
| 12759121 | 2014-10-29 10:49:43 |    NUMTSN |       TLE | -1.00 |   7836 | C++ |
| 12748929 | 2014-10-28 09:21:15 |     NAJMS |        WA |  0.10 |   3544 | C++ |
| 12748910 | 2014-10-28 09:19:18 |     NAJMS |        WA |  0.10 |   3544 | C++ |
| 12748884 | 2014-10-28 09:15:57 |     NAJMS |        WA |  0.10 |   3544 | C++ |
| 12748873 | 2014-10-28 09:13:57 |     NAJMS |        WA |  0.11 |   3544 | C++ |
| 12748694 | 2014-10-28 08:48:59 |     NAJMS |        AC |  0.11 |   3544 | C++ |
| 12741440 | 2014-10-27 13:08:47 |     NAJMS |        WA |  0.12 |   3544 | C++ |
| 12741430 | 2014-10-27 13:08:07 |     NAJMS |       TLE | -1.00 |   7176 | C++ |
| 12738976 | 2014-10-27 07:02:38 |     NAJMS |       TLE | -1.00 |   7176 | C++ |
| 12738921 | 2014-10-27 06:37:28 |     NAJMS |        WA |  0.09 |   3544 | C++ |
| 12738882 | 2014-10-27 06:16:16 |     NAJMS |        WA |  0.08 |   3544 | C++ |
| 12738833 | 2014-10-27 06:00:01 |     NAJMS |       TLE | -1.00 |   7188 | C++ |
| 12738832 | 2014-10-27 05:59:59 |     NAJMS |       TLE | -1.00 |   7188 | C++ |
| 12738814 | 2014-10-27 05:53:59 |     NAJMS |       TLE | -1.00 |   7192 | C++ |
| 12738793 | 2014-10-27 05:48:36 |     NAJMS |        WA |  0.43 |   7192 | C++ |
| 12738772 | 2014-10-27 05:42:35 |     NAJMS |       TLE | -1.00 |   7460 | C++ |
| 12738746 | 2014-10-27 05:36:40 |     NAJMS |       TLE | -1.00 |   7980 | C++ |
| 12738597 | 2014-10-27 04:52:15 |     NAJSQ |        AC |  0.01 |   2688 | C++ |
| 12738573 | 2014-10-27 04:44:20 |     NAJAS |        AC |  0.00 |   2688 | C++ |
| 12718483 | 2014-10-24 19:53:53 |       PHT |        AC |  1.02 |  10504 | C++ |
| 12718461 | 2014-10-24 19:51:12 |       PHT |        WA |  0.21 |   2688 | C++ |
| 12718440 | 2014-10-24 19:49:28 |       PHT |        WA |  0.20 |   2688 | C++ |
| 12718376 | 2014-10-24 19:42:01 |       PHT |        WA |  0.22 |  10504 | C++ |
| 12718241 | 2014-10-24 19:28:13 |    PPBRJB |        AC |  0.00 |   3908 | C++ |
| 12718219 | 2014-10-24 19:25:33 |    PPBRJB |        WA |  0.00 |   3908 | C++ |
| 12718064 | 2014-10-24 19:08:14 |  NPC2014C |        AC |  0.60 |   3988 | C++ |
| 12718029 | 2014-10-24 19:03:09 |  NPC2014C |        WA |  0.12 |   3988 | C++ |
| 12718002 | 2014-10-24 19:00:14 |  NPC2014C |       TLE | -1.00 |   5292 | C++ |
| 12704690 | 2014-10-23 14:26:41 |      CEQU |        AC |  0.92 |   2688 | C++ |
| 12701667 | 2014-10-23 07:55:14 |     EXPR2 |      3512 |  0.00 |   2628 | C++ |
| 12701653 | 2014-10-23 07:52:17 |     EXPR2 |      3653 |  0.00 |   2628 | C++ |
| 12701582 | 2014-10-23 07:38:03 |     EXPR2 |      3945 |  0.00 |   2628 | C++ |
| 12701567 | 2014-10-23 07:34:58 |     EXPR2 |        WA |  0.00 |   2628 | C++ |
| 12701435 | 2014-10-23 07:00:47 |     EXPR2 |      4020 |  0.00 |   2628 | C++ |
| 12701416 | 2014-10-23 06:54:48 |     EXPR2 |      4914 |  0.00 |   2628 | C++ |
| 12701413 | 2014-10-23 06:54:22 |     EXPR2 |        CE |  0.00 |      0 |   C |
| 12701176 | 2014-10-23 05:48:57 |     EXPR2 |      5360 |  0.00 |   2628 | C++ |
| 12701175 | 2014-10-23 05:48:32 |     EXPR2 |        CE |  0.00 |      0 |   C |
| 12701101 | 2014-10-23 05:27:03 |     EXPR2 |        CE |  0.00 |      0 |   C |
| 12701096 | 2014-10-23 05:26:31 |     EXPR2 |        CE |  0.00 |      0 | C++ |
| 12701062 | 2014-10-23 05:15:08 |     EXPR2 |      8870 |  0.00 |   2628 | C++ |
| 12701058 | 2014-10-23 05:14:26 |     EXPR2 |        CE |  0.00 |      0 |   C |
| 12697686 | 2014-10-22 18:54:42 |     EXPR2 |        WA |  0.00 |   2628 | C++ |
| 12697430 | 2014-10-22 18:28:37 |     EXPR2 |      9262 |  0.00 |   2628 | C++ |
| 12696962 | 2014-10-22 17:44:50 |     EXPR2 |     12327 |  0.00 |   2628 | C++ |
| 12696337 | 2014-10-22 16:43:44 |  NPC2014B |        WA |  0.00 |   2728 | C++ |
| 12696079 | 2014-10-22 16:13:34 |  NPC2014B |        WA |  0.00 |   2824 | C++ |
| 12695997 | 2014-10-22 16:05:46 |  NPC2014B |        WA |  0.00 |   2824 | C++ |
| 12695547 | 2014-10-22 15:20:13 |  NPC2014F |        AC |  0.02 |   2824 | C++ |
| 12693208 | 2014-10-22 10:31:48 |  OHANISER |        AC |  0.23 |   3076 | C++ |
| 12693197 | 2014-10-22 10:30:37 |  OHANISER |        WA |  0.23 |   3076 | C++ |
| 12681059 | 2014-10-20 21:56:36 |    ACPC13 |       TLE | -1.00 |  46824 | C++ |
| 12676869 | 2014-10-20 15:24:24 |   SUMFOUR |       TLE | -1.00 |  69632 | C++ |
| 12676758 | 2014-10-20 15:15:50 |    AMR11J |        AC |  0.96 |   4092 | C++ |
| 12676659 | 2014-10-20 15:04:34 |    AMR11J |        WA |  0.01 |   4092 | C++ |
| 12673891 | 2014-10-20 09:01:02 |     PARTY |        AC |  0.00 |   2692 | C++ |
| 12673682 | 2014-10-20 08:23:15 |     GOODC |        AC |  7.88 |  41816 | C++ |
| 12673670 | 2014-10-20 08:19:40 |     GOODC |       TLE | -1.00 |   5864 | C++ |
| 12673652 | 2014-10-20 08:16:37 |     GOODC |       TLE | -1.00 |   5864 | C++ |
| 12670545 | 2014-10-19 12:43:07 |     GOODC |        CE |  0.00 |      0 | C++ |
| 12670537 | 2014-10-19 12:42:26 |     GOODC |        CE |  0.00 |      0 | C++ |
| 12669409 | 2014-10-19 09:32:58 |  FOXLINGS |        AC |  0.43 |  15520 | C++ |
| 12668872 | 2014-10-19 08:04:37 |  FOXLINGS |        RE |  0.01 |   5044 | C++ |
| 12660156 | 2014-10-18 06:39:44 |   STREETR |        AC |  0.00 |   3076 | C++ |
| 12639601 | 2014-10-16 05:24:49 |    ACPC13 |       TLE | -1.00 | 285184 | C++ |
| 12633635 | 2014-10-15 16:04:04 |  TAP2014G |        AC |  0.00 |   2704 | C++ |
| 12633472 | 2014-10-15 15:48:39 |  TAP2014G |        WA |  0.00 |   2692 | C++ |
| 12632626 | 2014-10-15 14:18:27 |     IGAME |        AC |  2.41 |   2836 | C++ |
| 12632229 | 2014-10-15 13:32:03 |      INUM |        AC |  0.45 |   3472 | C++ |
| 12632217 | 2014-10-15 13:30:25 |      INUM |        WA |  0.20 |   3472 | C++ |
| 12623600 | 2014-10-14 13:17:53 |     RTREE |        AC | 10.56 |  12728 | C++ |
| 12618621 | 2014-10-13 20:18:09 |   ISELECT |        AC |  0.02 |   3076 | C++ |
| 12605858 | 2014-10-12 11:31:20 |    CRAN02 |        AC |  1.01 |  33976 | C++ |
| 12605832 | 2014-10-12 11:28:29 |    CRAN02 |        WA |  0.95 |  33976 | C++ |
| 12600053 | 2014-10-11 14:17:50 |  TAP2014B |        AC |  0.00 |   2820 | C++ |
| 12591578 | 2014-10-10 18:45:01 |      LISA |        AC |  0.02 |   3008 | C++ |
| 12574876 | 2014-10-08 18:25:44 |    ASSIGN |       TLE | -1.00 |  10880 | C++ |
| 12574780 | 2014-10-08 18:16:07 |    ASSIGN |       TLE | -1.00 |  19072 | C++ |
| 12572938 | 2014-10-08 15:29:01 |   COURIER |        AC |  0.04 |   2916 | C++ |
| 12569470 | 2014-10-08 09:01:03 |   MMMGAME |        WA |  0.01 |   2688 | C++ |
| 12569075 | 2014-10-08 08:07:15 |      QCJ3 |        AC |  0.00 |   2688 | C++ |
| 12564446 | 2014-10-07 16:58:05 |  TAP2014J |        AC |  0.22 |   3312 | C++ |
| 12536165 | 2014-10-03 22:16:29 |     SGAME |        AC |  0.00 |   2824 | C++ |
| 12536114 | 2014-10-03 22:11:08 |   MATGAME |        AC |  0.03 |   2820 | C++ |
| 12536061 | 2014-10-03 22:03:56 |   MATGAME |        WA |  0.21 |   2820 | C++ |
| 12535259 | 2014-10-03 20:29:35 |    HDEVIL |        AC |  0.05 |   2824 | C++ |
| 12535237 | 2014-10-03 20:27:56 |    HDEVIL |        WA |  0.00 |   2824 | C++ |
| 12535221 | 2014-10-03 20:26:21 |    HDEVIL |        WA |  0.00 |   2872 | C++ |
| 12535215 | 2014-10-03 20:25:48 |    HDEVIL |        WA |  0.01 |   2872 | C++ |
| 12535206 | 2014-10-03 20:23:45 |    HDEVIL |        WA |  0.01 |   2824 | C++ |
| 12535194 | 2014-10-03 20:22:16 |    HDEVIL |        WA |  0.00 |   2824 | C++ |
| 12535179 | 2014-10-03 20:20:26 |    HDEVIL |        WA |  0.00 |   2824 | C++ |
| 12528163 | 2014-10-03 10:18:00 |      RPLA |       TLE | -1.00 |   2844 | C++ |
| 12527709 | 2014-10-03 09:26:07 |   ACPC11B |        AC |  0.04 |   2696 | C++ |
| 12527598 | 2014-10-03 09:15:26 |   ACPC11B |        WA |  0.03 |   2696 | C++ |
| 12527550 | 2014-10-03 09:11:26 |   ACPC11B |        WA |  0.03 |   2696 | C++ |
| 12527434 | 2014-10-03 08:59:39 |   MAIN12A |        AC |  0.03 |   2824 | C++ |
| 12524085 | 2014-10-02 21:19:28 |      KOZE |        AC |  0.00 |   3968 | C++ |
| 12523944 | 2014-10-02 21:05:25 |      KOZE |        WA |  0.10 |   3972 | C++ |
| 12523798 | 2014-10-02 20:49:03 |      KOZE |        WA |  0.09 |   3972 | C++ |
| 12523301 | 2014-10-02 19:54:05 |   MAIN12B |        AC |  0.47 |   2824 | C++ |
| 12522705 | 2014-10-02 18:52:05 |  NATALIAG |        AC |  0.00 |   2928 | C++ |
| 12496998 | 2014-09-29 23:14:57 |  DCEPC11I |        AC |  0.89 |   9032 | C++ |
| 12496163 | 2014-09-29 21:17:16 |  DCEPC11I |        WA |  0.01 |   6916 | C++ |
| 12495527 | 2014-09-29 20:08:03 |  DCEPC11I |        WA |  0.01 |   6916 | C++ |
| 12495510 | 2014-09-29 20:05:38 |  DCEPC11I |        WA |  0.01 |   6916 | C++ |
| 12484088 | 2014-09-28 15:23:50 |  ITRIX12E |        AC |  0.08 | 1372160 | JAV |
| 12484081 | 2014-09-28 15:23:06 |  ITRIX12E |        CE |  0.00 |      0 | C++ |
| 12482082 | 2014-09-28 10:32:21 |  ITRIX12E |        WA |  0.61 | 181504 | JAV |
| 12481508 | 2014-09-28 08:46:33 |  DCEPC701 |        AC |  0.12 |   3476 | C++ |
| 12474398 | 2014-09-27 12:12:39 |  DCEPC11B |        WA |  0.00 |   2688 | C++ |
| 12474356 | 2014-09-27 12:05:51 |  DCEPC11B |        WA |  0.01 |   2688 | C++ |
